from_organisation	to_organisation	relationship_type	from_key	to_key	from_in_master	verification_status	pdpa_risk	notes	sources
Karama Connection	Malaika Orphanage (Arusha)	funds	WORG_karama_connection	WORG_malaika_orphanage		verified	low	$6,385 (2024); named again in 2025 990-EZ.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22orphanage+in+arusha%22"", ""title"": ""ProPublica full-text search 'orphanage in arusha' (Karama Connection)"", ""source_date"": ""FY2018-FY2025 filings"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""grant_amount""], ""evidence_excerpt"": ""2025 Schedule O: Karama Care orphanage in Arusha; 990-EZ 2023-2025: supported Karama Kids and Malaika Orphanage with housing, food, education.""}, {""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=arusha+orphanage"", ""title"": ""ProPublica full-text search arusha orphanage p1 (Karama Connection Schedule O)"", ""source_date"": ""FY2024-FY2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""grant_amount""], ""evidence_excerpt"": ""2025: Karama Care orphanage $42,542; 2024: Karama Kids orphanage $43,184 and Malaika Orphanage Arusha $6,385.""}]"
Yelloh Foundation	Holley Children Orphanage (Arusha)	funds	WORG_yelloh_foundation	WORG_holley_children_orphanage		verified	low	$61,525 in FY2024; $89,500 in FY2023.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=arusha+orphanage&page=2"", ""title"": ""ProPublica full-text search arusha orphanage p2 (Yelloh Foundation 990-PF)"", ""source_date"": ""FY2019-FY2024 filings"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""grant_amount"", ""address""], ""evidence_excerpt"": ""Holley Children Orphanage, PO Box 72 Arusha: $13,400 (2019, establishment), $75,018 (2020), $48,000 (2021), $89,500 (2023), $61,525 (2024).""}]"
Hidden Hearts Foundation	Osiligi Orphanage Center (Arusha)	funds	WORG_hidden_hearts_foundation	WORG_osiligi_orphanage_centre		verified	low	$5,656 (2024); recurring since 2014.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=arusha+orphanage&page=2"", ""title"": ""ProPublica full-text search arusha orphanage p2 (Hidden Hearts Foundation Schedule O)"", ""source_date"": ""FY2014-FY2024 filings"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""grant_amount"", ""address""], ""evidence_excerpt"": ""Osiligi Orphanage Center, PO Box 2510 Arusha: $5,160 (2020), $5,905 (2022), $10,125 (2023), $5,656 (2024).""}]"
Educating Tanzania Foundation	Tupendane Orphanage (Arusha)	funds	WORG_educating_foundation	WORG_tupendane_orphanage		verified	low	Scholarship allocations 2023-2025; care for 45 children in 2021.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22tupendane%22"", ""title"": ""ProPublica full-text search 'tupendane' (Educating Tanzania Foundation)"", ""source_date"": ""FY2019-FY2025 filings"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""children_served"", ""services""], ""evidence_excerpt"": ""2021: grants for board, care and basic education for 45 children at Tupendane orphanage; 2023-2025: limited educational scholarships.""}, {""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22school+fees%22+arusha"", ""title"": ""ProPublica full-text search 'school fees' arusha (ETF 2021 Schedule O)"", ""source_date"": ""FY2021 filing"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address""], ""evidence_excerpt"": ""Tupendane Orphanage: PO Box 355, Arusha; misc. school fees and staff fee.""}]"
Love Our Tanzania Family Inc	Tumaini For Africa Orphanage (Arusha)	funds	WORG_love_our_family	WORG_tumaini_for_africa_orphanage		verified	low	Covers operating costs; 2025 need >$110,000.	"[{""url"": ""https://www.loveourtanzaniafamily.org/"", ""title"": ""Love Our Tanzania Family - home page"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""children_served"", ""age_range"", ""schooling_arrangement"", ""registration""], ""evidence_excerpt"": ""Tumaini For Africa Orphanage is home to 30+ abandoned children aged 5-17 from Arusha streets; attend private English-speaking schools.""}, {""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22orphanage+in+arusha%22"", ""title"": ""ProPublica full-text search 'orphanage in arusha' (Love Our Tanzania Family 990-EZ)"", ""source_date"": ""FY2021-FY2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Care, goods and services for the children and staff of the Tumaini For Africa Orphanage in Arusha (FY2021-FY2025).""}]"
Scott Willis Legacy Foundation	Mama Jane's Orphanage (Arusha)	funds	WORG_scott_willis_legacy_foundation	WORG_mama_janes_orphanage		historical	low	Named in 2018 only.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22orphanage+in+arusha%22"", ""title"": ""ProPublica full-text search 'orphanage in arusha' (Scott Willis Legacy Foundation 990-PF)"", ""source_date"": ""FY2018, FY2024"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""2018: scholarship program, Mama Jane's Orphanage in Arusha; 2024: donated funds to orphanage in Arusha (unnamed).""}]"
My Daily Armor Ministries Inc	Amazing Children's Home (Arusha)	funds	WORG_my_daily_armor_ministries	WORG_amazing_children_home		verified	low	$600 in 2023.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22children%27s+home%22+arusha"", ""title"": ""ProPublica full-text search 'children's home' arusha (My Daily Armor Ministries Schedule O)"", ""source_date"": ""FY2023 filing"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""address"", ""grant_amount""], ""evidence_excerpt"": ""Grantee Amazing Children's Home, Kimindorosi No 94 Arusha; amount given $600 (2023).""}]"
Falcos Children Africa Inc	His Healing Hands Africa Ministry (Meru, Arusha)	funds	WORG_falcos_children_africa	WORG_his_healing_hands_africa_ministry		verified	low	Schedule R lists it as a related organisation (purpose: orphanage support), 2018-2024.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=arusha+orphanage"", ""title"": ""ProPublica full-text search arusha orphanage (Falcos Children Africa Schedule R)"", ""source_date"": ""FY2018-FY2024"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""address""], ""evidence_excerpt"": ""Schedule R 2018-2024: His Healing Hands Africa Ministry, PO Box 14861 Meru Post Office, Arusha - orphanage support.""}]"
Kilimanjaro Childrens Fund	Kilimanjaro Orphanage Centre (Moshi) - defunct	funds	WORG_kilimanjaro_children_fund	WORG_kilimanjaro_orphanage_centre		historical	low	Now supports former KOC children directly.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22kilimanjaro+orphanage%22"", ""title"": ""ProPublica full-text search 'kilimanjaro orphanage' (Kilimanjaro Childrens Fund 990-EZ)"", ""source_date"": ""FY2021-FY2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""status""], ""evidence_excerpt"": ""Children supported were once members of the defunct Kilimanjaro Orphanage Centre in Moshi; grants to Daraja Preschool.""}]"
Sustainable Service Learning Upendo-One Kid At A Time Inc	Upendo One Kid at a Time orphanage centre (Moshi)	funds	WORG_upendo_one_kid_at_a_time	WORG_upendo_one_kid_at_a_time_orphanage_centre		needs_review	low	Construction fundraising 2019-2023.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=moshi+orphanage"", ""title"": ""ProPublica full-text search moshi orphanage (Sustainable Service Learning Upendo 990-EZ)"", ""source_date"": ""FY2019-FY2023"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""capacity"", ""age_range""], ""evidence_excerpt"": ""Fundraising for construction of the Upendo One Kid at a Time orphanage center in Moshi, to house up to 60 children aged 0-5.""}]"
Be Part Of Their Story Inc	Grace Orphanage (Moshi)	funds	WORG_be_part_of_their_story	WORG_grace_orphanage		needs_review	low	$500 (2023).	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22orphanage+in+moshi%22"", ""title"": ""ProPublica full-text search 'orphanage in moshi' (Be Part Of Their Story Schedule O)"", ""source_date"": ""FY2023"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""grant_amount""], ""evidence_excerpt"": ""$500.00 donation to Grace Orphanage in Moshi (2023 filing).""}]"
Faraja Fund Foundation	Faraja Diaconic Centre (Faraja school for children with physical disabilities), Sanya Juu	funds	WORG_faraja_fund_foundation	WORG_faraja_diaconic_centre_sanya_juu		verified	low	Operating support 2017-2023 (e.g., $232,075 in 2017 per snippet order - amount attribution to be confirmed).	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22sanya+juu%22"", ""title"": ""ProPublica full-text search 'sanya juu' (Faraja Fund Foundation 990-PF)"", ""source_date"": ""FY2017-FY2023"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""services"", ""address""], ""evidence_excerpt"": ""Grantee Faraja Diaconic Center, PO Box 167 Sanya Juu: support operations of Faraja residential school for children with physical disabilities (2017-2023).""}]"
Evangelical Lutheran Church in Tanzania (ELCT)	Usa River Rehabilitation Centre (ELCT)	operates	WORG_evangelical_lutheran_church_in	WORG_usa_river_rehabilitation_and_training_centre		needs_review	low	'ELCT DME' per Miraclefeet 2016 Schedule F.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22usa+river%22+tanzania&page=3"", ""title"": ""ProPublica full-text search 'usa river' p3 (Miraclefeet, Arthur B Schultz, Faraja Fund)"", ""source_date"": ""FY2016-FY2018"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""operator""], ""evidence_excerpt"": ""Miraclefeet 2016: grant to the ELCT DME Usa River Rehab Center; Arthur B Schultz 2018: Usa River Rehab, PO Box 47 Usa River.""}]"
Arthur B Schultz Foundation	OMAWA (Moshi)	funds	WORG_arthur_b_schultz_foundation	WORG_omawa		verified	low	2024: education and skilling of OVC.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22vulnerable+children%22+moshi"", ""title"": ""ProPublica full-text search 'vulnerable children' moshi (Arthur B Schultz 2024 expenditure responsibility statement)"", ""source_date"": ""FY2024"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Grant to OMAWA in Moshi for education and skilling of orphans and vulnerable children (2024).""}, {""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22school+fees%22+moshi"", ""title"": ""ProPublica full-text search 'school fees' moshi (Arthur B Schultz 2024 990-PF)"", ""source_date"": ""FY2024"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address""], ""evidence_excerpt"": ""Grantee Omawa, PO Box 2039 Moshi listed in 2024 990-PF.""}]"
Arthur B Schultz Foundation	Victoria's Giving Foundation (Arusha)	funds	WORG_arthur_b_schultz_foundation	WORG_victorias_giving_foundation		needs_review	low	Listed as 2024 grantee; purpose uncertain.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22school+fees%22+arusha"", ""title"": ""ProPublica full-text search 'school fees' arusha (Arthur B Schultz 2024 990-PF)"", ""source_date"": ""FY2024"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""address""], ""evidence_excerpt"": ""2024 990-PF lists Victoria's Giving Foundation, PO Box 15192 Arusha, near text on girls' school fees.""}]"
Arthur B Schultz Foundation	Usa River Rehabilitation Centre (ELCT)	funds	WORG_arthur_b_schultz_foundation	WORG_usa_river_rehabilitation_and_training_centre		historical	low	Named 2018.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22usa+river%22+tanzania&page=3"", ""title"": ""ProPublica full-text search 'usa river' p3 (Miraclefeet, Arthur B Schultz, Faraja Fund)"", ""source_date"": ""FY2016-FY2018"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""operator""], ""evidence_excerpt"": ""Miraclefeet 2016: grant to the ELCT DME Usa River Rehab Center; Arthur B Schultz 2018: Usa River Rehab, PO Box 47 Usa River.""}]"
Faraja Fund Foundation	Usa River Rehabilitation Centre (ELCT)	funds	WORG_faraja_fund_foundation	WORG_usa_river_rehabilitation_and_training_centre		historical	low	Named 2017.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22usa+river%22+tanzania&page=3"", ""title"": ""ProPublica full-text search 'usa river' p3 (Faraja Fund 2017 990-PF)"", ""source_date"": ""FY2017"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""2017 990-PF lists Usa River Rehabilitation Center, PO Box 47.""}]"
Opportunity Builds Africa (formerly Operation Bootstrap-Africa)	Eripoto Safe House	funds	WORG_opportunity_builds_africa	WORG_eripoto_safe_house		verified	low	Scholarships for 21 students (FY2024).	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22safe+house%22+arusha"", ""title"": ""ProPublica full-text search 'safe house' arusha (Operation Bootstrap-Africa Form 990)"", ""source_date"": ""FY2023-FY2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""children_served""], ""evidence_excerpt"": ""Scholarships granted to 21 primary, secondary and post-secondary students at Eripoto Safe House in Arusha (FY2024); continued FY2025.""}, {""url"": ""https://opportunitybuildsafrica.org/what-we-do/"", ""title"": ""What We Do - Opportunity Builds Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship"", ""services""], ""evidence_excerpt"": ""Eripoto runs a safe house for girls fleeing forced marriage and GBV; Ilboru Special Needs School partnership over a decade.""}]"
Klehn Family Foundation	Eripoto Safe House	funds	WORG_klehn_family_foundation	WORG_eripoto_safe_house		needs_review	low	Via Lutheran Partners in Global Ministry (Minneapolis), 2023-2024.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22eripoto%22"", ""title"": ""ProPublica full-text search 'eripoto' (Klehn Family Foundation, Grand Circle Foundation)"", ""source_date"": ""FY2023-FY2024"", ""accessed_on"": ""2026-09-23"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Klehn Family Foundation grant via Lutheran Partners in Global Ministry for Eripoto (2023-2024); Grand Circle Foundation: painting two classrooms at Eripoto (2024).""}]"
Opportunity Builds Africa (formerly Operation Bootstrap-Africa)	Ilboru Special Needs School (Arusha)	funds	WORG_opportunity_builds_africa	WORG_ilboru_special_needs_school		verified	low	Partnered over a decade: education, classrooms, dormitories.	"[{""url"": ""https://opportunitybuildsafrica.org/what-we-do/"", ""title"": ""What We Do - Opportunity Builds Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship"", ""services""], ""evidence_excerpt"": ""Eripoto runs a safe house for girls fleeing forced marriage and GBV; Ilboru Special Needs School partnership over a decade.""}]"
Opportunity Builds Africa (formerly Operation Bootstrap-Africa)	Kafika House	funds	WORG_opportunity_builds_africa	WORG_kafika_house		needs_review	low		"[{""url"": ""https://opportunitybuildsafrica.org/what-we-do/"", ""title"": ""What We Do - Opportunity Builds Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship"", ""services""], ""evidence_excerpt"": ""Eripoto runs a safe house for girls fleeing forced marriage and GBV; Ilboru Special Needs School partnership over a decade.""}]"
Grand Circle Foundation Inc	Eripoto Safe House	funds	WORG_grand_circle_foundation	WORG_eripoto_safe_house		needs_review	low	$2,000 classroom painting (2024) via Community Service East Africa.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22eripoto%22"", ""title"": ""ProPublica full-text search 'eripoto' (Klehn Family Foundation, Grand Circle Foundation)"", ""source_date"": ""FY2023-FY2024"", ""accessed_on"": ""2026-09-23"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Klehn Family Foundation grant via Lutheran Partners in Global Ministry for Eripoto (2023-2024); Grand Circle Foundation: painting two classrooms at Eripoto (2024).""}]"
Cscna Charity Corps Inc	Emusoi Centre (Arusha)	funds	WORG_cscna_charity_corps	WORG_emusoi_centre		verified	low	Fees and supplies for 250 students (2023, 2025).	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22school+fees%22+arusha"", ""title"": ""ProPublica full-text search 'school fees' arusha (Cscna Charity Corps Form 990)"", ""source_date"": ""FY2023-FY2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""children_served"", ""age_range""], ""evidence_excerpt"": ""Emusoi Center for pastoralist and hunter-gatherer girls, Arusha: school fees and supplies for 250 indigenous students aged 11-13 (2023; 2025).""}]"
Godparents For Tanzania	Tanzania Women Research Foundation (Moshi)	funds	WORG_godparents_for	WORG_women_research_foundation		verified	low	School fees for OVC (2025).	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22school+fees%22+moshi"", ""title"": ""ProPublica full-text search 'school fees' moshi (Godparents For Tanzania 2025 990-EZ)"", ""source_date"": ""FY2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""services""], ""evidence_excerpt"": ""Tanzania Women Research Foundation, a Moshi-based NGO that provides school fees for orphans and vulnerable children; also Trinity Academy.""}]"
Habari Foundation International	Habari Foundation (Moshi)	funds	WORG_habari_foundation_international	WORG_habari_foundation		verified	low	40 primary pupils' fees; teaching staff support.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22school+fees%22+moshi"", ""title"": ""ProPublica full-text search 'school fees' moshi (Habari Foundation International 990-EZ)"", ""source_date"": ""FY2024-FY2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""children_served"", ""grant_amount""], ""evidence_excerpt"": ""Cash grants to Habari Foundation, PO Box 7644 Moshi: sponsoring 40 primary school students' school fees and teaching staff ($8,520, 2025).""}]"
Asali	Asali partner community centre, Majengo (Moshi)	funds	WORG_asali	WORG_asali_partner_community_centre_majengo		verified	low		"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22school+fees%22+moshi"", ""title"": ""ProPublica full-text search 'school fees' moshi (Asali 990-EZ)"", ""source_date"": ""FY2023-FY2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""services"", ""locality""], ""evidence_excerpt"": ""Organisation in Tanzania runs after-school programming at its community centre in Majengo, Moshi; school fees, youth scholarships, health insurance.""}]"
Kidcare International	Kidcare International centre for street children (Arusha)	operates	WORG_kidcare_international	WORG_kidcare_international_centre_for_street_children		needs_review	low		"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22street+children%22+arusha"", ""title"": ""ProPublica full-text search 'street children' arusha (Kidcare International 2024 990-EZ)"", ""source_date"": ""FY2024"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""KCI continues international programmes through our center for street children in Arusha, Tanzania.""}]"
Vibrant Village Foundation	HopeCare (Arusha)	funds	WORG_vibrant_village_foundation	WORG_hopecare		verified	low	2023 and 2024 990-PF.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22hopecare%22+arusha"", ""title"": ""ProPublica full-text search 'hopecare' arusha (Friends of Tanzania; Vibrant Village Foundation)"", ""source_date"": ""FY2023-FY2024"", ""accessed_on"": ""2026-09-23"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""children_served"", ""address""], ""evidence_excerpt"": ""HopeCare, Boma Road, Arusha: health - HIV/AIDS orphans, 395 children (Friends of Tanzania 2024); foreign NGO empowering vulnerable (Vibrant Village 2023-24).""}]"
Friends Of Tanzania - Marafiki Wa Tanzania	HopeCare (Arusha)	funds	WORG_friends_of_marafiki_wa	WORG_hopecare		verified	low	2024 Schedule O: HIV/AIDS orphans, 395 children.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22hopecare%22+arusha"", ""title"": ""ProPublica full-text search 'hopecare' arusha (Friends of Tanzania; Vibrant Village Foundation)"", ""source_date"": ""FY2023-FY2024"", ""accessed_on"": ""2026-09-23"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""children_served"", ""address""], ""evidence_excerpt"": ""HopeCare, Boma Road, Arusha: health - HIV/AIDS orphans, 395 children (Friends of Tanzania 2024); foreign NGO empowering vulnerable (Vibrant Village 2023-24).""}]"
Global Development Group USA Inc	Sandra Jones Centre	funds	WORG_global_development_group_usa	WORG_sandra_jones_centre		verified	low	$42,821 (2022), $28,192 (2023) transfers to project J757N.	"[{""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22sandra+jones+centre%22"", ""title"": ""ProPublica full-text search 'sandra jones centre' (Global Development Group USA Schedule F)"", ""source_date"": ""FY2016-FY2023"", ""accessed_on"": ""2026-09-23"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship"", ""children_served""], ""evidence_excerpt"": ""Project J757N-The Sandra Jones Centre: about 800 girls from newborns to 18 have come to the centre; transfers $28,192 (2023).""}, {""url"": ""https://projects.propublica.org/nonprofits/full_text_search?utf8=%E2%9C%93&q=%22sexually+abused%22+arusha"", ""title"": ""ProPublica full-text search 'sexually abused' arusha (GDG USA 2022 Schedule F)"", ""source_date"": ""FY2022"", ""accessed_on"": ""2026-09-23"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""services"", ""locality""], ""evidence_excerpt"": ""Sandra Jones Centre offers safety and healing for girls who have been sexually abused; snippet mentions children and youth in Tanzania and Arusha.""}]"
Neema Village Tanzania Inc	Neema Village (Arusha)	operates	WORG_neema_village	WORG_neema_village		verified	low		"[{""url"": ""https://neemavillage.org/"", ""title"": ""Neema Village - home page"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""description"", ""registration"", ""email"", ""phone""], ""evidence_excerpt"": ""Baby home, mothering centre and widows home in Arusha; US 501(c)3 Neema Village Tanzania, Inc.; info@neemavillage.org.""}]"
Friends of Amani US Inc	Amani Centre for Street Children (Moshi)	funds	WORG_friends_of_amani_us	WORG_amani_centre_for_street_children		verified	low		"[{""url"": ""https://amanikids.org/"", ""title"": ""Amani Centre for Street Children - home page"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""registration"", ""children_served"", ""services"", ""email""], ""evidence_excerpt"": ""Registered charity in Tanzania 00NG0/RI/00266; Friends of Amani USA EIN 27-3621599; Friends of Amani UK 1107618; Vrienden van Amani RSIN 856833691.""}]"
Friends of Amani UK	Amani Centre for Street Children (Moshi)	funds	WORG_friends_of_amani_uk	WORG_amani_centre_for_street_children		verified	low		"[{""url"": ""https://amanikids.org/"", ""title"": ""Amani Centre for Street Children - home page"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""registration"", ""children_served"", ""services"", ""email""], ""evidence_excerpt"": ""Registered charity in Tanzania 00NG0/RI/00266; Friends of Amani USA EIN 27-3621599; Friends of Amani UK 1107618; Vrienden van Amani RSIN 856833691.""}]"
Vrienden van Amani Nederland	Amani Centre for Street Children (Moshi)	funds	WORG_vrienden_van_amani_nederland	WORG_amani_centre_for_street_children		verified	low		"[{""url"": ""https://amanikids.org/"", ""title"": ""Amani Centre for Street Children - home page"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""registration"", ""children_served"", ""services"", ""email""], ""evidence_excerpt"": ""Registered charity in Tanzania 00NG0/RI/00266; Friends of Amani USA EIN 27-3621599; Friends of Amani UK 1107618; Vrienden van Amani RSIN 856833691.""}]"
Innovo Benefits Group	Amani Centre for Street Children (Moshi)	funds	WORG_innovo_benefits_group	WORG_amani_centre_for_street_children		needs_review	low		"[{""url"": ""https://amanikids.org/partners"", ""title"": ""Partners - Amani Centre for Street Children"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funders""], ""evidence_excerpt"": ""Donor quotes from Innovo Benefits Group (USA) and Liaison Group (UK) supporting Amani.""}]"
Liaison Group	Amani Centre for Street Children (Moshi)	funds	WORG_liaison_group	WORG_amani_centre_for_street_children		needs_review	low		"[{""url"": ""https://amanikids.org/partners"", ""title"": ""Partners - Amani Centre for Street Children"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funders""], ""evidence_excerpt"": ""Donor quotes from Innovo Benefits Group (USA) and Liaison Group (UK) supporting Amani.""}]"
SOS Children's Villages International / SOS Children's Villages Tanzania	SOS Children's Village Arusha	operates	WORG_sos_children_villages_international_sos_children	WORG_sos_children_village_arusha		verified	low		"[{""url"": ""https://www.sos-childrensvillages.org/where-we-help/africa/tanzania/arusha"", ""title"": ""SOS Children's Villages - Arusha"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""children_served"", ""services"", ""founded""], ""evidence_excerpt"": ""Operating in Arusha since 2000; 130 children and young people in residential care; 220 supported in community; 10 in independence support.""}]"
